xflr5 v6.47

E387
Reynolds =  100000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  5.000       0.023     0.913    -0.084     0.632     1.000    0.0000  -1.4612
 Cpi          Cpv
 0.1504    0.1156
 0.0958    0.0961
 0.0478    0.0701
 0.0129    0.0350
-0.0192   -0.0248
-0.0505   -0.1428
-0.0853   -0.3093
-0.1236   -0.3171
-0.1663   -0.3243
-0.2142   -0.3319
-0.2665   -0.3412
-0.3300   -0.3549
-0.3991   -0.3779
-0.4651   -0.4150
-0.5180   -0.4667
-0.5578   -0.5154
-0.5805   -0.5467
-0.5829   -0.5556
-0.5606   -0.5423
-0.5333   -0.5198
-0.4989   -0.4889
-0.4577   -0.4494
-0.4035   -0.3963
-0.3318   -0.3266
-0.2358   -0.2271
-0.1014   -0.1024
 0.0886    0.1022
 0.3655    0.3579
 0.7161    0.7224
 0.9898    0.9929
-0.7958   -0.5469
-0.6141   -0.8222
-0.5159   -0.4927
-0.3961   -0.3780
-0.3066   -0.3069
-0.2304   -0.2370
-0.1721   -0.1793
-0.1237   -0.1316
-0.0842   -0.0921
-0.0500   -0.0586
-0.0212   -0.0300
 0.0031   -0.0056
 0.0243    0.0154
 0.0433    0.0338
 0.0595    0.0498
 0.0742    0.0639
 0.0872    0.0762
 0.0993    0.0871
 0.1098    0.0965
 0.1198    0.1048
 0.1286    0.1119
 0.1377    0.1179
 0.1453    0.1225
 0.1534    0.1261
 0.1598    0.1287
 0.1741    0.1310
 0.1957    0.1327
 0.2147    0.1334
 0.2191    0.1363


Reynolds =  100000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 -1.500       0.017     0.244    -0.094     0.838     0.114    0.0000  -1.1235
 Cpi          Cpv
-----------------
 0.2185    0.1433
 0.1896    0.1357
 0.1514    0.1230
 0.0976    0.1011
 0.0507    0.0698
 0.0168    0.0233
-0.0142   -0.0554
-0.0443   -0.1849
-0.0778   -0.2763
-0.1147   -0.2833
-0.1557   -0.2900
-0.2017   -0.2975
-0.2518   -0.3073
-0.3128   -0.3220
-0.3790   -0.3468
-0.4417   -0.3860
-0.4911   -0.4375
-0.5272   -0.4828
-0.5460   -0.5097
-0.5444   -0.5142
-0.5181   -0.4963
-0.4864   -0.4692
-0.4470   -0.4330
-0.3999   -0.3875
-0.3391   -0.3275
-0.2596   -0.2501
-0.1546   -0.1411
-0.0103   -0.0066
 0.1895    0.2065
 0.4717    0.4676
 0.8041    0.8097
 0.9335    0.9442
-1.3258   -0.9054
-0.8472   -1.1235
-0.6747   -0.7696
-0.5060   -0.5510
-0.3891   -0.4040
-0.2948   -0.3117
-0.2242   -0.2477
-0.1669   -0.1755
-0.1207   -0.1199
-0.0812   -0.0817
-0.0482   -0.0520
-0.0204   -0.0264
 0.0037   -0.0035
 0.0251    0.0168
 0.0434    0.0345
 0.0600    0.0503
 0.0746    0.0643
 0.0881    0.0769
 0.0999    0.0878
 0.1112    0.0978
 0.1211    0.1064
 0.1312    0.1140
 0.1398    0.1192
 0.1488    0.1233
 0.1561    0.1258
 0.1712    0.1294
 0.1936    0.1321
 0.2134    0.1317
 0.2185    0.1433


Reynolds =  100000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 -2.000       0.019     0.196    -0.096     0.859     0.040    0.0000  -1.2639
 Cpi          Cpv
-----------------
 0.2181    0.1475
 0.1899    0.1394
 0.1525    0.1263
 0.0996    0.1036
 0.0537    0.0698
 0.0209    0.0160
-0.0090   -0.0841
-0.0380   -0.2406
-0.0701   -0.2521
-0.1055   -0.2590
-0.1449   -0.2661
-0.1891   -0.2745
-0.2371   -0.2858
-0.2955   -0.3031
-0.3588   -0.3312
-0.4183   -0.3735
-0.4643   -0.4239
-0.4966   -0.4647
-0.5116   -0.4869
-0.5062   -0.4868
-0.4760   -0.4646
-0.4401   -0.4331
-0.3958   -0.3924
-0.3431   -0.3419
-0.2760   -0.2763
-0.1892   -0.1931
-0.0760   -0.0773
 0.0771    0.0640
 0.2846    0.2817
 0.5682    0.5439
 0.8758    0.8635
 0.8282    0.8844
-1.9238   -1.0864
-1.0958   -1.2639
-0.8411   -1.0203
-0.6198   -0.8955
-0.4740   -0.4942
-0.3607   -0.3222
-0.2773   -0.2520
-0.2107   -0.2013
-0.1575   -0.1561
-0.1127   -0.1154
-0.0753   -0.0801
-0.0440   -0.0495
-0.0170   -0.0229
 0.0069    0.0007
 0.0274    0.0212
 0.0457    0.0395
 0.0620    0.0552
 0.0770    0.0696
 0.0901    0.0819
 0.1026    0.0929
 0.1136    0.1023
 0.1249    0.1111
 0.1344    0.1176
 0.1443    0.1231
 0.1525    0.1271
 0.1685    0.1320
 0.1917    0.1362
 0.2122    0.1375
 0.2181    0.1475


